REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2019/01/04 13:00:00,1185.94,64.87,TRADE
TAS1,2019/01/04 13:30:00,1184.42,-0.72,TRADE
TAS1,2019/01/04 14:00:00,1141.41,-0.83,TRADE
TAS1,2019/01/04 14:30:00,1101.38,-23.74,TRADE
TAS1,2019/01/04 15:00:00,1075.13,-0.72,TRADE
TAS1,2019/01/04 15:30:00,1092.07,-0.72,TRADE
TAS1,2019/01/04 16:00:00,1120.12,-0.72,TRADE
TAS1,2019/01/04 16:30:00,1142.75,-0.72,TRADE
TAS1,2019/01/04 17:00:00,1117.57,82.92,TRADE
TAS1,2019/01/04 17:30:00,1127.73,85.32,TRADE
TAS1,2019/01/04 18:00:00,1112.75,78.01,TRADE
TAS1,2019/01/04 18:30:00,1093.81,90.71,TRADE
TAS1,2019/01/04 19:00:00,1078.38,104.29,TRADE
TAS1,2019/01/04 19:30:00,1072.18,98.80,TRADE
TAS1,2019/01/04 20:00:00,1061.58,96.32,TRADE
TAS1,2019/01/04 20:30:00,1045.09,101.58,TRADE
TAS1,2019/01/04 21:00:00,1051.23,103.96,TRADE
TAS1,2019/01/04 21:30:00,1030.37,101.58,TRADE
TAS1,2019/01/04 22:00:00,1015.44,101.19,TRADE
TAS1,2019/01/04 22:30:00,998.27,104.37,TRADE
TAS1,2019/01/04 23:00:00,975.39,100.97,TRADE
TAS1,2019/01/04 23:30:00,962.41,102.54,TRADE
TAS1,2019/01/05 00:00:00,952.35,108.22,TRADE
TAS1,2019/01/05 00:30:00,941.75,101.93,TRADE
TAS1,2019/01/05 01:00:00,950.3,103.35,TRADE
TAS1,2019/01/05 01:30:00,938.43,97.16,TRADE
TAS1,2019/01/05 02:00:00,903,101.58,TRADE
TAS1,2019/01/05 02:30:00,913.59,102.45,TRADE
TAS1,2019/01/05 03:00:00,911.83,101.58,TRADE
TAS1,2019/01/05 03:30:00,932.7,101.58,TRADE
TAS1,2019/01/05 04:00:00,942.87,103.35,TRADE
TAS1,2019/01/05 04:30:00,964.41,110.76,TRADE
TAS1,2019/01/05 05:00:00,930.5,110.74,TRADE
TAS1,2019/01/05 05:30:00,946.09,110.76,TRADE
TAS1,2019/01/05 06:00:00,964.19,110.75,TRADE
TAS1,2019/01/05 06:30:00,1009.48,114.24,TRADE
TAS1,2019/01/05 07:00:00,1029.95,110.76,TRADE
TAS1,2019/01/05 07:30:00,1054.16,117.25,TRADE
TAS1,2019/01/05 08:00:00,1084.48,130.72,TRADE
TAS1,2019/01/05 08:30:00,1082.64,120.43,TRADE
TAS1,2019/01/05 09:00:00,1069.21,119.79,TRADE
TAS1,2019/01/05 09:30:00,1064.93,118.89,TRADE
TAS1,2019/01/05 10:00:00,1065.14,117.37,TRADE
TAS1,2019/01/05 10:30:00,1062.68,178.66,TRADE
